%                    STANDARDIZED    DATA                                        
%                                                                                
YEAR   JAN   FEB   MAR   APR   MAY   JUN   JUL   AUG   SEP   OCT   NOV   DEC    
1997   0.5   1.6  -1.1  -0.9  -1.8  -2.0  -1.0  -2.1  -1.6  -1.9  -1.4  -1.3
1998  -3.3  -2.7  -3.5  -1.9   0.1   0.7   1.3   1.0   1.2   1.0   1.1   1.4
1999   2.0   0.8   0.9   1.4   0.1  -0.1   0.5   0.1  -0.1   0.9   1.1   1.5
2000   0.7   1.6   1.0   1.2   0.2  -0.6  -0.4   0.4   1.0   1.0   2.0   0.7
2001   1.1   1.5   0.5  -0.1  -0.8  -0.1  -0.4  -1.0   0.2  -0.4   0.7  -1.2
2002   0.4   0.9  -0.9  -0.4  -1.2  -0.7  -0.7  -1.6  -0.7  -0.7  -0.6  -1.4
2003  -0.4  -1.2  -1.0  -0.4  -0.6  -1.1   0.2  -0.3  -0.1  -0.3  -0.4   1.1
2004  -1.7   1.1  -0.2  -1.3   0.9  -1.3  -0.7  -0.8  -0.4  -0.3  -0.9  -1.1
2005   0.3  -4.1  -0.2  -1.0  -1.2   0.1   0.0  -0.8   0.4   1.1  -0.3  -0.2
2006   1.8  -0.2   1.4   0.9  -0.8  -0.7  -0.8  -1.6  -0.7  -1.7   0.1  -0.5
2007  -1.1  -0.5  -0.4  -0.4  -0.4   0.2  -0.5   0.1   0.2   0.6   0.9   1.8
2008   1.9   2.7   1.1   0.6  -0.3   0.3   0.2   0.8   1.5   1.3   1.5   1.5
2009   1.2   1.8  -0.1   0.7  -0.4  -0.3   0.1  -0.7   0.3  -1.7  -0.8  -1.0
2010  -1.5  -2.1  -1.4   1.2   0.8   0.1   2.0   1.7   2.6   Nan   Nan   Nan
